"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Status"
"ENSMUSG00000000001.5",800.389159623734,-0.567325111499883,0.504311569798925,-1.12494962533991,0.260610381306511,0.998031491301746,"Não Significativo"
"ENSMUSG00000000028.16",42.113835332964,-0.0693562651027437,0.73653090719826,-0.0941661299273545,0.924977189589531,0.998031491301746,"Não Significativo"
"ENSMUSG00000000056.8",134.560911945472,-0.633398856784046,0.59503424118387,-1.06447463514679,0.287113738996168,0.998031491301746,"Não Significativo"
"ENSMUSG00000000078.8",1017.41142387638,-0.19263546618822,0.184010584193421,-1.04687166247858,0.295158773068611,0.998031491301746,"Não Significativo"
"ENSMUSG00000000085.17",80.2303763197475,0.63004382307806,0.701246030504153,0.898463300569555,0.368938602247208,0.998031491301746,"Não Significativo"
"ENSMUSG00000000088.8",909.873993345643,0.249228376298638,0.272757955003372,0.913734583086887,0.360856327452137,0.998031491301746,"Não Significativo"
"ENSMUSG00000000125.6",31.9101908973986,1.9958658625858,1.30054051324465,1.53464335963392,0.124871455790666,0.998031491301746,"Não Significativo"
"ENSMUSG00000000131.16",733.124548473564,0.415749663967766,0.318405183462587,1.30572517522039,0.191646033488677,0.998031491301746,"Não Significativo"
"ENSMUSG00000000134.18",123.817859476645,-0.84645628233526,0.418594527428058,-2.02213891217376,0.043162003034813,0.998031491301746,"Não Significativo"
"ENSMUSG00000000142.16",47.1313007193862,2.68650928020991,0.94895097894456,2.83103062204319,0.00463982786654042,0.546537332143976,"Não Significativo"
"ENSMUSG00000000148.18",265.312915796207,-0.278452876381173,0.351817347589634,-0.791470000808389,0.428669775342775,0.998031491301746,"Não Significativo"
"ENSMUSG00000000149.11",42.9917536223062,0.450034750998246,0.619237343551945,0.726756478246042,0.467375148471946,0.998031491301746,"Não Significativo"
"ENSMUSG00000000168.11",193.418134044191,-0.88775925230592,0.486883826012462,-1.82334923625743,0.0682505135746917,0.998031491301746,"Não Significativo"
"ENSMUSG00000000171.6",681.074141077519,0.411232692295307,0.298579398289995,1.3772976121276,0.168420253202346,0.998031491301746,"Não Significativo"
"ENSMUSG00000000184.13",4221.83297635813,0.999016749954336,0.678519819867134,1.47234718972536,0.140927146246055,0.998031491301746,"Não Significativo"
"ENSMUSG00000000194.14",214.032032442919,0.0488135759994564,0.746146432322929,0.0654209065203036,0.947838878738574,0.998031491301746,"Não Significativo"
"ENSMUSG00000000244.18",2842.39004196242,0.112804568863468,0.227159781876512,0.496586886691018,0.619480402316528,0.998031491301746,"Não Significativo"
